EMR	2017-08-11	2017-12-20	0.81	0.819	-1.4
ROK	2017-08-14	2017-12-21	1.69	1.717	-1.6
HOLX	2017-08-14	2017-12-21	0.5	0.489	2.2
DHI	2017-08-15	2017-12-22	0.82	0.814	1.3
JCI	2017-08-15	2017-12-22	0.87	0.867	0.3
TDG	2017-08-15	2017-12-22	3.48	3.411	2
DIS	2017-08-15	2017-12-22	1.07	1.141	-6.2
TSN	2017-08-17	2017-12-27	1.43	1.363	4.9
HP	2017-08-22	2018-01-02	-0.13	-0.186	30.1
VIAB	2017-08-22	2018-01-02	0.88	0.855	2.9
AMAT	2017-08-22	2018-01-02	0.93	0.904	2.9
A	2017-08-24	2018-01-04	0.67	0.624	7.4
HRL	2017-08-25	2018-01-05	0.41	0.405	1.2
JEC	2017-08-25	2018-01-05	0.98	0.823	19.1
ADI	2017-08-25	2018-01-05	1.45	1.364	6.3
HPE	2017-08-25	2018-01-05	0.31	0.282	9.9
HPQ	2017-08-25	2018-01-05	0.44	0.442	-0.5
DE	2017-08-28	2018-01-08	1.57	1.469	6.9
SNPS	2017-09-01	2018-01-12	0.69	0.573	20.4
AVGO	2017-09-11	2018-01-22	4.59	4.52	1.5
COO	2017-09-12	2018-01-23	2.65	2.643	0.3
ADBE	2017-09-19	2018-01-30	1.26	1.157	8.9
CCL	2017-09-22	2018-02-02	0.63	0.507	24.3
LEN	2017-10-12	2018-02-23	1.29	1.475	-12.5
DAL	2017-10-13	2018-02-26	0.96	0.874	9.8
BLK	2017-10-16	2018-02-27	6.24	5.984	4.3
JPM	2017-10-16	2018-02-27	1.74	1.694	2.4
PNC	2017-10-16	2018-02-27	2.29	2.196	4.3
WFC	2017-10-16	2018-02-27	0.86	1.022	-16.3
UNH	2017-10-17	2018-02-28	2.59	2.515	3
INFO	2017-10-17	2018-02-28	0.52	0.512	1.6
CMA	2017-10-17	2018-02-28	1.28	1.229	4.1
C	2017-10-17	2018-02-28	1.2	1.188	1
CSX	2017-10-17	2018-02-28	0.64	0.563	13.7
FAST	2017-10-18	2018-03-01	0.45	0.453	-0.7
USB	2017-10-18	2018-03-01	0.88	0.871	1
BAC	2017-10-18	2018-03-01	0.48	0.445	7
GS	2017-10-18	2018-03-01	5.68	4.901	15.9
SCHW	2017-10-18	2018-03-01	0.44	0.415	5.8
KMI	2017-10-18	2018-03-01	0.21	0.182	15.4
BBT	2017-10-19	2018-03-02	0.84	0.794	5.8
KEY	2017-10-19	2018-03-02	0.36	0.36	0
BK	2017-10-19	2018-03-02	0.91	0.905	0.6
PPG	2017-10-19	2018-03-02	1.19	1.184	0.5
MS	2017-10-19	2018-03-02	0.84	0.768	9.4
MTB	2017-10-19	2018-03-02	2.66	2.404	10.6
